Id,Book,Section_Id,File_Name,URL,Section_Roman,Book,,
108,Book 1: Adi Parva,Book01_08,mahabharata_01109.txt,https://www.mahabharataonline.com/translation/mahabharata_01109.php,Section CVIII,Book,1,Book01
109,Book 1: Adi Parva,Book01_09,mahabharata_01110.txt,https://www.mahabharataonline.com/translation/mahabharata_01110.php,Section CIX,Book,1,Book01
110,Book 1: Adi Parva,Book01_10,mahabharata_01111.txt,https://www.mahabharataonline.com/translation/mahabharata_01111.php,Section CX,Book,1,Book01
111,Book 1: Adi Parva,Book01_11,mahabharata_01112.txt,https://www.mahabharataonline.com/translation/mahabharata_01112.php,Section CXI,Book,1,Book01
112,Book 1: Adi Parva,Book01_12,mahabharata_01113.txt,https://www.mahabharataonline.com/translation/mahabharata_01113.php,Section CXII,Book,1,Book01
113,Book 1: Adi Parva,Book01_13,mahabharata_01114.txt,https://www.mahabharataonline.com/translation/mahabharata_01114.php,Section CXIII,Book,1,Book01
114,Book 1: Adi Parva,Book01_14,mahabharata_01115.txt,https://www.mahabharataonline.com/translation/mahabharata_01115.php,Section CXIV,Book,1,Book01
115,Book 1: Adi Parva,Book01_15,mahabharata_01116.txt,https://www.mahabharataonline.com/translation/mahabharata_01116.php,Section CXV,Book,1,Book01
116,Book 1: Adi Parva,Book01_16,mahabharata_01117.txt,https://www.mahabharataonline.com/translation/mahabharata_01117.php,Section CXVI,Book,1,Book01
117,Book 1: Adi Parva,Book01_17,mahabharata_01118.txt,https://www.mahabharataonline.com/translation/mahabharata_01118.php,Section CXVII,Book,1,Book01
118,Book 1: Adi Parva,Book01_18,mahabharata_01119.txt,https://www.mahabharataonline.com/translation/mahabharata_01119.php,Section CXVIII,Book,1,Book01
119,Book 1: Adi Parva,Book01_19,mahabharata_01120.txt,https://www.mahabharataonline.com/translation/mahabharata_01120.php,Section CXIX,Book,1,Book01
120,Book 1: Adi Parva,Book01_20,mahabharata_01121.txt,https://www.mahabharataonline.com/translation/mahabharata_01121.php,Section CXX,Book,1,Book01
121,Book 1: Adi Parva,Book01_21,mahabharata_01122.txt,https://www.mahabharataonline.com/translation/mahabharata_01122.php,Section CXXI,Book,1,Book01
122,Book 1: Adi Parva,Book01_22,mahabharata_01123.txt,https://www.mahabharataonline.com/translation/mahabharata_01123.php,Section CXXII,Book,1,Book01
123,Book 1: Adi Parva,Book01_23,mahabharata_01124.txt,https://www.mahabharataonline.com/translation/mahabharata_01124.php,Section CXXIII,Book,1,Book01
124,Book 1: Adi Parva,Book01_24,mahabharata_01125.txt,https://www.mahabharataonline.com/translation/mahabharata_01125.php,Section CXXIV,Book,1,Book01
125,Book 1: Adi Parva,Book01_25,mahabharata_01126.txt,https://www.mahabharataonline.com/translation/mahabharata_01126.php,Section CXXV,Book,1,Book01
126,Book 1: Adi Parva,Book01_26,mahabharata_01127.txt,https://www.mahabharataonline.com/translation/mahabharata_01127.php,Section CXXVI,Book,1,Book01
127,Book 1: Adi Parva,Book01_27,mahabharata_01128.txt,https://www.mahabharataonline.com/translation/mahabharata_01128.php,Section CXXVII,Book,1,Book01
128,Book 1: Adi Parva,Book01_28,mahabharata_01129.txt,https://www.mahabharataonline.com/translation/mahabharata_01129.php,Section CXXVIII,Book,1,Book01
129,Book 1: Adi Parva,Book01_29,mahabharata_01130.txt,https://www.mahabharataonline.com/translation/mahabharata_01130.php,Section CXXIX,Book,1,Book01
130,Book 1: Adi Parva,Book01_30,mahabharata_01131.txt,https://www.mahabharataonline.com/translation/mahabharata_01131.php,Section CXXX,Book,1,Book01
131,Book 1: Adi Parva,Book01_31,mahabharata_01132.txt,https://www.mahabharataonline.com/translation/mahabharata_01132.php,Section CXXXI,Book,1,Book01
132,Book 1: Adi Parva,Book01_32,mahabharata_01133.txt,https://www.mahabharataonline.com/translation/mahabharata_01133.php,Section CXXXII,Book,1,Book01
133,Book 1: Adi Parva,Book01_33,mahabharata_01134.txt,https://www.mahabharataonline.com/translation/mahabharata_01134.php,Section CXXXIII,Book,1,Book01
134,Book 1: Adi Parva,Book01_34,mahabharata_01135.txt,https://www.mahabharataonline.com/translation/mahabharata_01135.php,Section CXXXIV,Book,1,Book01
135,Book 1: Adi Parva,Book01_35,mahabharata_01136.txt,https://www.mahabharataonline.com/translation/mahabharata_01136.php,Section CXXXV,Book,1,Book01
136,Book 1: Adi Parva,Book01_36,mahabharata_01137.txt,https://www.mahabharataonline.com/translation/mahabharata_01137.php,Section CXXXVI,Book,1,Book01
137,Book 1: Adi Parva,Book01_37,mahabharata_01138.txt,https://www.mahabharataonline.com/translation/mahabharata_01138.php,Section CXXXVII,Book,1,Book01
138,Book 1: Adi Parva,Book01_38,mahabharata_01139.txt,https://www.mahabharataonline.com/translation/mahabharata_01139.php,Section CXXXVIII,Book,1,Book01
139,Book 1: Adi Parva,Book01_39,mahabharata_01140.txt,https://www.mahabharataonline.com/translation/mahabharata_01140.php,Section CXXXIX,Book,1,Book01
140,Book 1: Adi Parva,Book01_40,mahabharata_01141.txt,https://www.mahabharataonline.com/translation/mahabharata_01141.php,Section CXL,Book,1,Book01
141,Book 1: Adi Parva,Book01_41,mahabharata_01142.txt,https://www.mahabharataonline.com/translation/mahabharata_01142.php,Section CXLI,Book,1,Book01
142,Book 1: Adi Parva,Book01_42,mahabharata_01143.txt,https://www.mahabharataonline.com/translation/mahabharata_01143.php,Section CXLII,Book,1,Book01
143,Book 1: Adi Parva,Book01_43,mahabharata_01144.txt,https://www.mahabharataonline.com/translation/mahabharata_01144.php,Section CXLIII,Book,1,Book01
144,Book 1: Adi Parva,Book01_44,mahabharata_01145.txt,https://www.mahabharataonline.com/translation/mahabharata_01145.php,Section CXLIV,Book,1,Book01
145,Book 1: Adi Parva,Book01_45,mahabharata_01146.txt,https://www.mahabharataonline.com/translation/mahabharata_01146.php,Section CXLV,Book,1,Book01
146,Book 1: Adi Parva,Book01_46,mahabharata_01147.txt,https://www.mahabharataonline.com/translation/mahabharata_01147.php,Section CXLVI,Book,1,Book01
147,Book 1: Adi Parva,Book01_47,mahabharata_01148.txt,https://www.mahabharataonline.com/translation/mahabharata_01148.php,Section CXLVII,Book,1,Book01
148,Book 1: Adi Parva,Book01_48,mahabharata_01149.txt,https://www.mahabharataonline.com/translation/mahabharata_01149.php,Section CXLVIII,Book,1,Book01
149,Book 1: Adi Parva,Book01_49,mahabharata_01150.txt,https://www.mahabharataonline.com/translation/mahabharata_01150.php,Section CXLIX,Book,1,Book01
150,Book 1: Adi Parva,Book01_50,mahabharata_01151.txt,https://www.mahabharataonline.com/translation/mahabharata_01151.php,Section CL,Book,1,Book01
151,Book 1: Adi Parva,Book01_51,mahabharata_01152.txt,https://www.mahabharataonline.com/translation/mahabharata_01152.php,Section CLI,Book,1,Book01
152,Book 1: Adi Parva,Book01_52,mahabharata_01153.txt,https://www.mahabharataonline.com/translation/mahabharata_01153.php,Section CLII,Book,1,Book01
153,Book 1: Adi Parva,Book01_53,mahabharata_01154.txt,https://www.mahabharataonline.com/translation/mahabharata_01154.php,Section CLIII,Book,1,Book01
154,Book 1: Adi Parva,Book01_54,mahabharata_01155.txt,https://www.mahabharataonline.com/translation/mahabharata_01155.php,Section CLIV,Book,1,Book01
155,Book 1: Adi Parva,Book01_55,mahabharata_01156.txt,https://www.mahabharataonline.com/translation/mahabharata_01156.php,Section CLV,Book,1,Book01
156,Book 1: Adi Parva,Book01_56,mahabharata_01157.txt,https://www.mahabharataonline.com/translation/mahabharata_01157.php,Section CLVI,Book,1,Book01
157,Book 1: Adi Parva,Book01_57,mahabharata_01158.txt,https://www.mahabharataonline.com/translation/mahabharata_01158.php,Section CLVII,Book,1,Book01
158,Book 1: Adi Parva,Book01_58,mahabharata_01159.txt,https://www.mahabharataonline.com/translation/mahabharata_01159.php,Section CLVIII,Book,1,Book01
159,Book 1: Adi Parva,Book01_59,mahabharata_01160.txt,https://www.mahabharataonline.com/translation/mahabharata_01160.php,Section CLIX,Book,1,Book01
160,Book 1: Adi Parva,Book01_60,mahabharata_01161.txt,https://www.mahabharataonline.com/translation/mahabharata_01161.php,Section CLX,Book,1,Book01
161,Book 1: Adi Parva,Book01_61,mahabharata_01162.txt,https://www.mahabharataonline.com/translation/mahabharata_01162.php,Section CLXI,Book,1,Book01
162,Book 1: Adi Parva,Book01_62,mahabharata_01163.txt,https://www.mahabharataonline.com/translation/mahabharata_01163.php,Section CLXII,Book,1,Book01
163,Book 1: Adi Parva,Book01_63,mahabharata_01164.txt,https://www.mahabharataonline.com/translation/mahabharata_01164.php,Section CLXIII,Book,1,Book01
164,Book 1: Adi Parva,Book01_64,mahabharata_01165.txt,https://www.mahabharataonline.com/translation/mahabharata_01165.php,Section CLXIV,Book,1,Book01
165,Book 1: Adi Parva,Book01_65,mahabharata_01166.txt,https://www.mahabharataonline.com/translation/mahabharata_01166.php,Section CLXV,Book,1,Book01
166,Book 1: Adi Parva,Book01_66,mahabharata_01167.txt,https://www.mahabharataonline.com/translation/mahabharata_01167.php,Section CLXVI,Book,1,Book01
167,Book 1: Adi Parva,Book01_67,mahabharata_01168.txt,https://www.mahabharataonline.com/translation/mahabharata_01168.php,Section CLXVII,Book,1,Book01
168,Book 1: Adi Parva,Book01_68,mahabharata_01169.txt,https://www.mahabharataonline.com/translation/mahabharata_01169.php,Section CLXVIII,Book,1,Book01
169,Book 1: Adi Parva,Book01_69,mahabharata_01170.txt,https://www.mahabharataonline.com/translation/mahabharata_01170.php,Section CLXIX,Book,1,Book01
170,Book 1: Adi Parva,Book01_70,mahabharata_01171.txt,https://www.mahabharataonline.com/translation/mahabharata_01171.php,Section CLXX,Book,1,Book01
171,Book 1: Adi Parva,Book01_71,mahabharata_01172.txt,https://www.mahabharataonline.com/translation/mahabharata_01172.php,Section CLXXI,Book,1,Book01
172,Book 1: Adi Parva,Book01_72,mahabharata_01173.txt,https://www.mahabharataonline.com/translation/mahabharata_01173.php,Section CLXXII,Book,1,Book01
173,Book 1: Adi Parva,Book01_73,mahabharata_01174.txt,https://www.mahabharataonline.com/translation/mahabharata_01174.php,Section CLXXIII,Book,1,Book01
174,Book 1: Adi Parva,Book01_74,mahabharata_01175.txt,https://www.mahabharataonline.com/translation/mahabharata_01175.php,Section CLXXIV,Book,1,Book01
175,Book 1: Adi Parva,Book01_75,mahabharata_01176.txt,https://www.mahabharataonline.com/translation/mahabharata_01176.php,Section CLXXV,Book,1,Book01
176,Book 1: Adi Parva,Book01_76,mahabharata_01177.txt,https://www.mahabharataonline.com/translation/mahabharata_01177.php,Section CLXXVII,Book,1,Book01
177,Book 1: Adi Parva,Book01_77,mahabharata_01178.txt,https://www.mahabharataonline.com/translation/mahabharata_01178.php,Section CLXXVI,Book,1,Book01
178,Book 1: Adi Parva,Book01_78,mahabharata_01179.txt,https://www.mahabharataonline.com/translation/mahabharata_01179.php,Section CLXXVIII,Book,1,Book01
179,Book 1: Adi Parva,Book01_79,mahabharata_01180.txt,https://www.mahabharataonline.com/translation/mahabharata_01180.php,Section CLXXIX,Book,1,Book01
180,Book 1: Adi Parva,Book01_80,mahabharata_01181.txt,https://www.mahabharataonline.com/translation/mahabharata_01181.php,Section CLXXX,Book,1,Book01
181,Book 1: Adi Parva,Book01_81,mahabharata_01182.txt,https://www.mahabharataonline.com/translation/mahabharata_01182.php,Section CLXXXI,Book,1,Book01
182,Book 1: Adi Parva,Book01_82,mahabharata_01183.txt,https://www.mahabharataonline.com/translation/mahabharata_01183.php,Section CLXXXII,Book,1,Book01
