Player Name,Season,Matches Played,Raid Points,Super Raids,Tackle Points,Super Tackle,Total Points,Super 10s,High 5s,Team,Position,Country,Retained Young Player
Anil Kumar,5,5,,,1,,1,,,Dabang Delhi,Defender - Left cover,Indian,Rs 20 lakh
Anil Kumar,6,18,1,29,4,30,30,,,Dabang Delhi,Defender - Left cover,Indian,Rs 20 lakh
Ankit Beniwal,6,1,,,,,,,,Telugu Titans,Raider,Indian,
Armaan,6,4,13,1,2,1,15,,,Telugu Titans,All-Rounder,Indian,Retained Elite Player
Arun Kumar HN,6,2,1,,,,1,,,Haryana Steelers,Raider,Indian,
Ashish,2,5,2,,3,1,5,,,Patna Pirates,Raider,Indian,Rs 6 lakh
Ashish,3,13,7,,25,,32,,,Patna Pirates,Raider,Indian,Rs 6 lakh
Ashish,4,14,14,,23,6,37,,,Patna Pirates,Raider,Indian,Rs 6 lakh
Ashish,5,20,17,,15,1,32,,,Patna Pirates,Raider,Indian,Rs 6 lakh
Ashish,6,24,5,,40,3,45,,,Patna Pirates,Raider,Indian,Rs 6 lakh
Ashish Kumar,2,5,2,,3,1,5,,,Bengaluru Bulls,All-Rounder,Indian,Retained Elite Player
Ashish Kumar,3,13,7,,25,,32,,,Bengaluru Bulls,All-Rounder,Indian,Retained Elite Player
Ashish Kumar,4,14,14,,23,6,37,,,Bengaluru Bulls,All-Rounder,Indian,Retained Elite Player
Ashish Kumar,5,20,17,,15,1,32,,,Bengaluru Bulls,All-Rounder,Indian,Retained Elite Player
Ashish Kumar,6,24,5,,40,3,45,,,Bengaluru Bulls,All-Rounder,Indian,Retained Elite Player
Azad Singh,6,9,21,1,2,,,,,UP Yoddha,Raider,Indian,Retained Young Player
Baldev Singh,6,18,1,,27,3,28,,,Bengal Warriors,Defender - Right Corner,Indian,Retained Elite Player
Bhuvneshwar Gaur,6,6,6,,,,6,,,Bengal Warriors,Raider,Indian,Rs 10 lakh
C Arun,2,8,0,0,11,1,11,,,Telugu Titans,Defender - Left Corner,Indian,Rs 10 lakh
C Arun,3,11,1,0,17,5,18,,,Telugu Titans,Defender - Left Corner,Indian,Rs 10 lakh
C Arun,4,14,0,0,15,1,15,,,Telugu Titans,Defender - Left Corner,Indian,Rs 10 lakh
C Arun,5,20,1,0,35,5,36,,,Telugu Titans,Defender - Left Corner,Indian,Rs 10 lakh
C Arun,6,16,,,8,,8,,,Telugu Titans,Defender - Left Corner,Indian,Rs 10 lakh
Chandran Ranjit,1,6,6,,,,6,,,Dabang Delhi,Raider,Indian,Rs 70 lakh
Chandran Ranjit,2,1,,,1,,1,,,Dabang Delhi,Raider,Indian,Rs 70 lakh
Chandran Ranjit,5,11,51,3,,,51,,,Dabang Delhi,Raider,Indian,Rs 70 lakh
Chandran Ranjit,6,24,153,3,5,0,158,,,Dabang Delhi,Raider,Indian,Rs 70 lakh
Darshan Kadian,3,2,87,3,2,1,2,,,Puneri Paltan,Raider,Indian,Rs 20 lakh
Darshan Kadian,5,16,33,1,7,3,40,,,Puneri Paltan,Raider,Indian,Rs 20 lakh
Darshan Kadian,6,14,49,1,1,,50,,,Puneri Paltan,Raider,Indian,Rs 20 lakh
Deepak Narwal,2,16,57,1,4,0,61,,,Jaipur Pink Panthers,Raider,Indian,Rs 30.5 lakh
Deepak Narwal,3,9,31,0,2,1,33,,,Jaipur Pink Panthers,Raider,Indian,Rs 30.5 lakh
Deepak Narwal,4,6,13,1,0,0,13,,,Jaipur Pink Panthers,Raider,Indian,Rs 30.5 lakh
Deepak Narwal,5,16,85,1,2,0,87,,,Jaipur Pink Panthers,Raider,Indian,Rs 30.5 lakh
Deepak Narwal,6,17,70,1,4,,74,,,Jaipur Pink Panthers,Raider,Indian,Rs 30.5 lakh
Deepak Niwas Hooda(Captain),1,14,87,3,2,0,89,,,Jaipur Pink Panthers,All-Rounder,Indian,Retained Elite Player
Deepak Niwas Hooda(Captain),2,15,60,1,36,4,96,,,Jaipur Pink Panthers,All-Rounder,Indian,Retained Elite Player
Deepak Niwas Hooda(Captain),3,12,69,1,7,0,76,,,Jaipur Pink Panthers,All-Rounder,Indian,Retained Elite Player
Deepak Niwas Hooda(Captain),4,16,126,2,4,0,130,,,Jaipur Pink Panthers,All-Rounder,Indian,Retained Elite Player
Deepak Niwas Hooda(Captain),5,24,172,8,14,1,186,,,Jaipur Pink Panthers,All-Rounder,Indian,Retained Elite Player
Deepak Niwas Hooda(Captain),6,22,196,4,12,1,208,,,Jaipur Pink Panthers,All-Rounder,Indian,Retained Elite Player
Deepak Yadav,5,4,,,8,1,8,,,Puneri Paltan,Defender,Indian,Rs 10 lakh
Dharmaraj Cheralathan(Captain),1,16,13,0,39,5,52,,,Haryana Steelers,Defender - Right and left corner,Indian,Rs 38.5 lakh
Dharmaraj Cheralathan(Captain),2,15,19,0,42,1,61,,,Haryana Steelers,Defender - Right and left corner,Indian,Rs 38.5 lakh
Dharmaraj Cheralathan(Captain),3,14,6,0,31,3,37,,,Haryana Steelers,Defender - Right and left corner,Indian,Rs 38.5 lakh
Dharmaraj Cheralathan(Captain),4,14,2,0,39,8,41,,,Haryana Steelers,Defender - Right and left corner,Indian,Rs 38.5 lakh
Dharmaraj Cheralathan(Captain),5,18,0,0,25,1,25,,,Haryana Steelers,Defender - Right and left corner,Indian,Rs 38.5 lakh
Dharmaraj Cheralathan(Captain),6,22,0,0,40,3,40,,,Haryana Steelers,Defender - Right and left corner,Indian,Rs 38.5 lakh
Farhad Rahimi Milaghardan,5,18,6,,22,,28,,,Telugu Titans,All-Rounder,Irani,Retained Elite Player
Farhad Rahimi Milaghardan,6,22,22,,4,22,47,,,Telugu Titans,All-Rounder,Irani,Retained Elite Player
Girish Maruti Ernak,1,12,2,0,23,1,25,,,Patna Pirates,Defender,Indian,Rs 33 lakh
Girish Maruti Ernak,2,13,0,0,27,1,27,,,Patna Pirates,Defender,Indian,Rs 33 lakh
Girish Maruti Ernak,3,11,1,0,33,0,34,,,Bengal Warriors,Defender,Indian,Rs 33 lakh
Girish Maruti Ernak,4,12,0,0,25,2,25,,,Bengal Warriors,Defender,Indian,Rs 33 lakh
Girish Maruti Ernak,5,21,5,1,64,3,69,,,Puneri Paltan,Defender,Indian,Rs 33 lakh
Girish Maruti Ernak,6,20,1,0,56,4,57,,,Puneri Paltan,Defender,Indian,Rs 33 lakh
Gulveer Singh,5,4,3,,,,3,,,UP Yoddha,Raider,Indian,Rs 10 lakh
Hadi Oshtorak,2,4,0,0,7,1,7,,,Telugu Titans,All-Rounder,Irani,Rs 16 lakh
Hadi Oshtorak,3,10,0,0,18,1,18,,,Patna Pirates,All-Rounder,Irani,Rs 16 lakh
Hadi Oshtorak,4,7,1,0,12,3,13,,,Patna Pirates,All-Rounder,Irani,Rs 16 lakh
Hadi Oshtorak,5,16,0,0,20,3,20,,,U Mumba,All-Rounder,Irani,Rs 16 lakh
Hadi Oshtorak,6,13,6,0,12,0,18,,,U Mumba,All-Rounder,Irani,Rs 16 lakh
Hadi Tajik,3,1,0,0,0,0,0,,,U Mumba,Defender,Irani,Rs 10 lakh
Hadi Tajik,4,1,0,0,1,0,1,,,Dabang Delhi,Defender,Irani,Rs 10 lakh
Hadi Tajik,5,9,4,0,5,0,9,,,UP Yoddha,Defender,Irani,Rs 10 lakh
Hadi Tajik,6,5,0,0,0,0,0,,,U Mumba,Defender,Irani,Rs 10 lakh
Jaideep,5,26,,,71,5,71,,,Patna Pirates,Defender - Left Corner,Indian,Rs 35 lakh
Jaideep,6,22,,,58,2,58,,,Patna Pirates,Defender - Left Corner,Indian,Rs 35 lakh
Jang Kun Lee,1,11,55,5,2,0,57,,,Patna Pirates,Raider,Korean,Rs 40 lakh
Jang Kun Lee,2,14,48,3,2,0,50,,,Patna Pirates,Raider,Korean,Rs 40 lakh
Jang Kun Lee,3,15,79,2,11,2,90,,,Patna Pirates,Raider,Korean,Rs 40 lakh
Jang Kun Lee,4,11,61,2,4,0,65,,,Patna Pirates,Raider,Korean,Rs 40 lakh
Jang Kun Lee,5,21,89,0,0,0,89,,,Patna Pirates,Raider,Korean,Rs 40 lakh
Jang Kun Lee,6,18,79,2,3,1,82,,,Patna Pirates,Raider,Korean,Rs 40 lakh
Jawahar Dagar,4,6,,,2,,2,,,Patna Pirates,Defender,Indian,Retained Elite Player
Jawahar Dagar,5,18,6,,29,3,35,,,Patna Pirates,Defender,Indian,Retained Elite Player
Jawahar Dagar,6,15,3,,20,3,23,,,Patna Pirates,Defender,Indian,Retained Elite Player
Jeeva Kumar,1,9,,,16,0,16,,,Bengal Warriors,Defender - Right and left cover,Indian,
Jeeva Kumar,2,13,1,,38,7,39,,,Bengal Warriors,Defender - Right and left cover,Indian,
Jeeva Kumar,3,16,,,31,1,31,,,Bengal Warriors,Defender - Right and left cover,Indian,
Jeeva Kumar,4,14,,,26,2,26,,,Bengal Warriors,Defender - Right and left cover,Indian,
Jeeva Kumar,5,22,,,44,7,44,,,Bengal Warriors,Defender - Right and left cover,Indian,
Jeeva Kumar,6,19,,,40,4,40,,,Bengal Warriors,Defender - Right and left cover,Indian,
Joginder Narwal(Captain),2,14,,,30,,30,,,Dabang Delhi,Defender - Left Corner,India,Retained Elite Player
Joginder Narwal(Captain),4,16,4,,34,2,38,,,Dabang Delhi,Defender - Left Corner,India,Retained Elite Player
Joginder Narwal(Captain),5,8,,,9,,9,,,Dabang Delhi,Defender - Left Corner,India,Retained Elite Player
Joginder Narwal(Captain),6,22,,,51,4,51,,,Dabang Delhi,Defender - Left Corner,India,Retained Elite Player
K. Prapanjan,2,4,2,,2,,7,,,Bengal Warriors,Raider,Indian,Rs 55 lakh
K. Prapanjan,3,4,2,,,,2,,,Bengal Warriors,Raider,Indian,Rs 55 lakh
K. Prapanjan,4,11,12,,,,12,,,Bengal Warriors,Raider,Indian,Rs 55 lakh
K. Prapanjan,5,22,123,2,1,,124,,,Bengal Warriors,Raider,Indian,Rs 55 lakh
K. Prapanjan,6,22,122,1,1,,123,,,Bengal Warriors,Raider,Indian,Rs 55 lakh
Kamal Singh,6,8,13,,2,1,15,,,Telugu Titans,Raider,Indian,
Kuldeep Singh,5,5,1,,7,1,8,,,Haryana Steelers,Defender,Indian,Retained Elite Player
Kuldeep Singh,6,22,,,49,4,49,,,Haryana Steelers,Defender,Indian,Retained Elite Player
Lalit Chaudhary,6,3,3,,4,1,7,,,Gujarat Fortune Giants,Raider,Indian,Retained Young Player
Mahender Singh,5,22,1,0,57,5,58,,,Bengaluru Bulls,Defender - Left cover,Indian,Rs 80 lakh
Mahender Singh,6,24,0,0,63,1,63,,,Bengaluru Bulls,Defender - Left cover,Indian,Rs 80 lakh
Maninder Singh(Captain),1,16,130,3,19,1,137,,,Bengal Warriors,Raider,Indian,Retained Elite Player
Maninder Singh(Captain),5,21,190,6,13,0,192,,,Bengal Warriors,Raider,Indian,Retained Elite Player
Maninder Singh(Captain),6,22,122,1,1,,123,,,Bengal Warriors,Raider,Indian,Retained Elite Player
Manjeet Chhillar,1,16,71,2,51,0,122,,,Tamil Thalaivas,All-Rounder,Indian,Retained Elite Player
Manjeet Chhillar,2,16,67,0,40,1,107,,,Tamil Thalaivas,All-Rounder,Indian,Retained Elite Player
Manjeet Chhillar,3,15,45,2,61,5,106,,,Tamil Thalaivas,All-Rounder,Indian,Retained Elite Player
Manjeet Chhillar,4,12,24,1,44,1,68,,,Tamil Thalaivas,All-Rounder,Indian,Retained Elite Player
Manjeet Chhillar,5,15,5,0,47,1,52,,,Tamil Thalaivas,All-Rounder,Indian,Retained Elite Player
